"ID","DocType","Field Type","Is System Generated","Module (for export)","Label","Placeholder","Fieldname","Insert After","Length","Link Filters","Precision","Hide Seconds","Hide Days","Options","Sort Options","Fetch From","Fetch on Save if Empty","Collapsible","Collapsible Depends On","Default Value","Depends On","Mandatory Depends On","Read Only Depends On","Non Negative","Is Mandatory Field","Unique","Is Virtual","Read Only","Ignore User Permissions","Hidden","Print Hide","Print Hide If No Value","Print Width","No Copy","Allow on Submit","In List View","In Standard Filter","In Global Search","In Preview","Bold","Report Hide","Index","Allow in Quick Entry","Ignore XSS Filter","Translatable","Hide Border","Show Dashboard","Field Description","Permission Level","Width","Columns"
"Sales Order-custom_confirm_on","Sales Order","Datetime",0,"","Order Confirm On","","order_confirm_on","solar_capacity",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,1,0,0,0,0,"",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Quotation-custom_confirm_on","Quotation","Datetime",0,"","Confirm On","","confirm_on","custom_observer",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Lead-custom_survey_assigned_on","Lead","Datetime",0,"","For Survey Assigned On","","for_survey_assign_on","creation_date",0,"","",0,0,"",0,"",0,0,"","","surveyed_by","surveyed_by","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Attendance-custom_late_group_id","Attendance","Data",0,"","Late Mark Group ID","","custom_late_group_id","custom_original_status",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Groups the 3 rows that together triggered one deduction",0,"",0
"Attendance-custom_included_in_late_process","Attendance","Check",0,"","Included in Late Process","","custom_included_in_late_process","custom_section_break_kihjs",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,1,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Checked once this late mark is part of a finalized group of 3",0,"",0
"Attendance-custom_original_status","Attendance","Data",0,"","Original Status (Before Late Deduction)","","custom_original_status","custom_converted_due_to_late",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,1,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Attendance-custom_column_break_ehiro","Attendance","Column Break",0,"","","","custom_column_break_ehiro","custom_late_mark_seq",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Attendance-custom_converted_due_to_late","Attendance","Check",0,"","Converted to Absent Due to Late Marks","","custom_converted_due_to_late","custom_column_break_ehiro",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,1,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Attendance-custom_late_mark_seq","Attendance","Int",0,"","Late Mark Sequence (This Month)","","custom_late_mark_seq","custom_included_in_late_process",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,1,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Attendance-custom_section_break_kihjs","Attendance","Section Break",0,"","","","custom_section_break_kihjs","modify_half_day_status",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Employee-custom_exempt_late_deduction","Employee","Check",0,"","Exempt from Late Mark Deduction","","custom_exempt_late_deduction","holiday_list",0,"","",0,0,"",0,"",0,0,"","0","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,"",0
"Sales Order-custom_material_status","Sales Order","Data",0,"","Material Status","","custom_material_status","proposal",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,1,0,0,"",0,"",0
"Liaisoning And Synchronization-workflow_state","Liaisoning And Synchronization","Link",0,"","Workflow State","","workflow_state","",0,"","",0,0,"Workflow State",0,"",0,0,"","","","","",0,0,0,0,0,0,1,0,0,"",1,1,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Employee OT-workflow_state","Employee OT","Link",0,"","Workflow State","","workflow_state","",0,"","",0,0,"Workflow State",0,"",0,0,"","","","","",0,0,0,0,0,0,1,0,0,"",1,1,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Project-custom_site_survey_docs","Project","Table",0,"","Site Survey Docs","","custom_site_survey_docs","custom_inverter",0,"","",0,0,"Site Survey Doc Table",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Project-custom_upload_document","Project","Attach",0,"","Upload Document File","","custom_upload_document","without_pay_reason",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Make all docs in a ZIP and upload",0,"",0
"Sales Order-custom_liasioning__sync_manager","Sales Order","Link",0,"","Liasioning & Sync Manager","","lias_sync_manager","manager",0,"[[""User"",""role"",""="",""Synchronization User""]]","",0,0,"User",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Quotation-custom_proposal_template","Quotation","Link",0,"","Proposal Template","","proposal_template","proposal_type",50,"","",0,0,"Solar Proposal Template",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Quotation-custom_section_break_fc8vy","Quotation","Section Break",0,"","","","custom_section_break_fc8vy","custom_proposal_sent_days",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Quotation-custom_section_break_8ouvl","Quotation","Section Break",0,"","","","custom_section_break_8ouvl","delay_log",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Quotation-custom_correction_remark","Quotation","Small Text",0,"","Correction Remark","","custom_correction_remark","prpsl_crct",0,"","",0,0,"",0,"",0,0,"","","prpsl_crct","prpsl_crct","",0,0,0,0,0,0,0,0,0,"",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Quotation-custom_proposal_correction","Quotation","Check",0,"","Proposal Correction","","prpsl_crct","is_revised",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Quotation-custom_observer","Quotation","Link",0,"","Observer","","custom_observer","proposal_id",0,"","",0,0,"User",0,"",0,0,"","manisha.sadbhavrenewable@gmail.com","","","",0,0,0,0,1,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Salary Slip-custom_total_early_minute","Salary Slip","Int",0,"","Total Early Minute","","total_early_minute","total_late_minute",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Salary Slip-custom_total_late_minute","Salary Slip","Int",0,"","Total Late Minute","","total_late_minute","payment_days",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Employee-custom_lateearly_deduction_rate","Employee","Currency",0,"","Late/Early Deduction Rate","","lateearly_rate","esic_no",0,"","1",0,0,"salary_currency",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Project-custom_duration_in_days","Project","Int",0,"","Duration (In Days)","","total_duration_day","expected_start_date",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
"Quotation-custom_proposal_id","Quotation","Data",0,"","Proposal ID","","proposal_id","valid_till",0,"","",0,0,"",0,"",0,0,"","","","","",0,0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"",0
